name,url,segment,date_verified,confidence,customer_type,sports,markets,monthly_price,annual_price,week_pass,free_tier,free_trial,mobile_app,web_app,sport_specific_plan,all_sport_plan,pro_tier,ai_chat,ai_predictions,ai_explanations,game_picks,player_props,ml,spread,total,f5,nrfi,live_odds,line_movement,best_line,line_shopping,plus_ev,arbitrage,sharp_book_reference,public_bet_pct,bet_tracking,bankroll,custom_models,model_builder,parlay_tools,news,injuries,weather,lineups,matchup_analysis,historical_data,alerts,community,backtesting,api,sportsbook_integration,primary_promise,hero_headline,target_persona,accuracy_claim,claim_substantiation,brand_category,colors
PlayerProps.ai,https://playerprops.ai,AI Prediction,2026-08-31,LOW,B2C self-serve individual bettor,"NBA, NFL, MLB, NHL, WNBA, CFB, CBB, WCBB (coming soon: PGA, soccer, tennis, LoL, Dota2, CS2)","Player props (O/U), moneyline, spread, total, NRFI, F5","$59/mo (site) / $59.99/mo (Apple IAP) [3P-REVIEW, not vendor-confirmed]",$499.99/yr [3P-REVIEW]; 6-month $295 (buy 5 get 1 free),"$20 / 7 days, creditable toward monthly [3P-REVIEW]","PARTIAL - limited free tools only, exact scope UNKNOWN","NO - no unrestricted trial, only the paid week pass",YES,YES,NO,YES,UNKNOWN,NO,YES,UNKNOWN,YES,YES,YES,YES,YES,YES,YES,YES,YES,UNKNOWN,YES,NO,NO,UNKNOWN,YES,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,NO,UNKNOWN,YES,NO,NO,NO,"AI-powered research/education for smarter, more confident decisions (framed as research assistant, not guaranteed winner)",UNKNOWN (SPA would not render),"Beginner-to-intermediate bettors who want to be taught ""how to think""; per review, best suited to disciplined bettors with $1,000+ bankroll","""Most Accurate NFL Prop Prediction App"" (BetSmart 2025 Accuracy Contest); ""2025 Sports Betting Business of the Year"" (FSGA); no quantified accuracy/ROI number published on-site","None disclosed by vendor. BetSmart contest methodology not found by any source. FSGA award is a business/growth recognition, not an accuracy metric. Reviewer found no public line-by-line ledger.","AI-tech + sports-media hybrid (per one reviewer's characterization, not independently observed)","UNVERIFIED - site unrenderable; possible prior ""dark purple-pink neon"" read is likely stale (app has had 2 redesigns, V3.0 and V4.0, since)"
Rithmm,https://rithmm.com,AI Prediction,2026-08-31,HIGH,"B2C self-serve, ""everyday sports bettors,"" anti-jargon","NFL, NBA, MLB, WNBA, Golf, College Football, College Basketball; World Cup 2026 beta per one review","Player props (win probabilities), spread, totals, moneyline",Core $29.99 / Pro $49.99 / Premium $99.99,"Core $239.99/yr (~$19.99/mo eff, ""4 months free"") / Pro UNKNOWN / Premium $999.99/yr (~$83.33/mo eff, ""2 months free"")",NO,NO (trial-then-paid),"YES - 7 days, all tiers",UNKNOWN (not verified via app-store listing; likely exists),YES,"NO - all 3 tiers cover all sports, tiers differ by feature depth",YES,"YES ($49.99/mo named ""Pro"")","YES (""Scout"", Pro/Premium only)",YES,YES (Scout reasoning),YES,YES,YES,YES,YES,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES (line shopping major sportsbooks),YES,NO,NO,UNKNOWN,UNKNOWN,YES (play tracking),NO,YES,YES,YES (parlay builder),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"PARTIAL (available via asking Scout, per one customer review; no dedicated module confirmed)",NO (no public ledger found),UNKNOWN,YES (Discord link),"YES (per customer review: ""backtests the models you create"" - CUSTOMER_PAIN.md, not vendor site)",NO,NO,"AI sports predictions, prop analysis, and line comparisons built for everyday bettors","""Never sweat another pick alone.""","Explicitly not the quant/data-scientist bettor - ""no spreadsheets,"" ""no code"" - while also offering a genuine model-builder for deeper users","None on Rithmm's own site (""edge"" undefined, explicit ""No guarantees of outcomes are made""). A widely-cited ""72% NBA accuracy"" figure is a THIRD PARTY's number (TheAISurf.com, March 2026), not Rithmm's own claim.","None disclosed by vendor. Third-party 72% figure has no located methodology, sample size, or date range. Reviewer found no public ledger.","AI-tech (Scout AI-analyst framing, explicit avoidance of jargon/spreadsheet or casino language)","Dark background, white/light logo-wordmark; accent hex not extractable (no screenshot)"
BetQL,https://betql.co,AI Prediction,2026-08-31,MEDIUM,B2C self-serve; also runs an affiliate program,"NCAAF, NFL, MLB, MLS, EPL, Bundesliga, LaLiga, Serie A, UCL, World Cup, NHL, NBA, NCAAB, ATP, WTA, Golf (broadest list in AI-prediction segment)","Spread, moneyline, totals, 1st/2nd-half spreads, player props, first-five-innings (MLB)",Premium $19.99 / Pro $24.99 / VIP $29.99 / Sharp $49.99 [APP-STORE-DIRECT]; conflicting 3P sources exist (see PRICING.md notes); All Sports Day Pass $4.99/24h,Premium $59.99 / Pro $99.99 / VIP $149.99 / Sharp $299.99 [APP-STORE-DIRECT],"NO (day pass exists instead, see monthly_price note)","YES (""Get Started for Free"" primary CTA; scope UNKNOWN)","UNKNOWN (one 3P review claims a ""limited free trial"" in addition to the free tier - unverified, possibly conflated)",YES,YES,YES - unique in this segment: tiers scale by sport count (1/2/3/all sports),YES (Sharp tier),"YES (named as the 2-sport tier - note this differs from the usual ""top tier"" meaning of Pro)",NO,"YES (""10,000 simulations"" per game)",NO,YES,YES,YES,YES,YES,YES,UNKNOWN,YES,YES (5-min refresh),UNKNOWN,UNKNOWN,NO,NO,"YES (""Sharp Picks"" - clearest sharp-money feature of the 5 AI-prediction products)",YES,UNKNOWN,NO,NO,NO,UNKNOWN,YES (daily expert articles),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,NO,"One-stop shop for picks, analysis, and sportsbook offers","""Your one-stop shop for sports betting picks, analysis, and sports offers.""","Explicit dual-segment: ""casual and serious bettors""","""Each game or match is simulated 10,000 times based on all available data providing... a fact based prediction and clear probability projections.""","Simulation count is stated; inputs, validation method, backtest, and historical hit rate/ROI are NOT disclosed. 3P review notes no ROI/win-rate guarantee is made anywhere.","Sports-media blended with finance-like data-terminal elements (line-movement tracker, public-bet%, sharp-money signal)",UNKNOWN (no render)
PropsBot.ai,https://propsbot.ai,AI Prediction,2026-08-31,HIGH,"B2C, ""serious bettors seeking automated research to replace manual spreadsheet analysis""","NFL, NBA, MLB, NHL, WNBA, NCAAF, PGA Golf, UFC, eSports, Bare Knuckle (BKFC), Soccer (multi-league), Tennis, KBO (widest sport list of the 5 AI-prediction products)","Player props (0-100 Confidence Score, Edge Score), moneyline, spread, totals",$49.99/mo,"$419.99/yr (~$35/mo eff, ""save $180""); 6-month $254.99 (~$42/mo eff)",NO,"NO (trial-only, framed as ""Start Free - 7 days"")","YES - 7 days, cancel anytime",UNKNOWN,YES,NO,YES,NO named tier,NO,YES,UNKNOWN,YES (daily top-5 picks),YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES (line shopping across 25+ sportsbooks),YES,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"YES - user-sortable, date-rangeable public track-record dashboard (best-in-segment transparency)",UNKNOWN,YES (private strategy Discord),UNKNOWN,NO,NO,Automated research to replace manual spreadsheet analysis,"""NFL research starts now. Your matchup tools are ready."" (seasonal/dynamic copy)",Serious bettors doing manual spreadsheet research today,"""27.8% ROI,"" ""218,826 Props graded,"" ""+95 units tracked profit,"" ""101,881 verified MLB outcomes,"" ""4.8 avg rating""","Most disclosed methodology in the AI-prediction segment: picks logged pre-game with timestamp + posted line + closing line captured; self-serve sortable/date-rangeable dashboard. Gaps: self-graded with no named external auditor; exact date range for the headline 27.8% ROI / 218,826-props figure is not stated.","AI-tech / SaaS-dashboard-like (confidence scores, sortable dashboard, ""Edge Score"")","Described secondhand as modern dashboard, blue/tech scheme - not screenshot-confirmed"
PropJuice.ai,https://propjuice.ai,AI Prediction,2026-08-31,MEDIUM,B2C self-serve,"NBA, NFL, MLB (narrowest sport coverage in this segment); MLB matchup models newly live for 2026",NBA: spreads/totals/props. NFL: spreads/ML/totals/props. MLB: ML/spread/total/batter+pitcher props.,UNKNOWN - homepage references a pricing URL and free trial but no dollar figures could be read; do not report a price without re-verifying,UNKNOWN,UNKNOWN,YES (standalone free probability calculator tool),Referenced on-page but terms UNKNOWN,"YES (iOS confirmed, includes alerts + bet tracking)",YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,"YES (""ensemble of 30+ models"")",UNKNOWN,YES (letter-grade A-B recommended picks),YES,YES,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,UNKNOWN,UNKNOWN,YES (iOS app feature),NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"YES (live results tracking broken out by grade, self-graded)",YES (iOS app),UNKNOWN,NO,NO,NO,AI-powered sports betting analytics platform using an ensemble of 30+ models,"""AI-powered sports betting analytics platform that uses an ensemble of 30+ models.""",UNKNOWN,"Highest headline numbers in the AI-prediction segment: ""NBA spreads 75%, NBA player props up to 80%, NFL spreads and moneyline 70%, NFL totals 65%""","Scored vs. closing lines (stated), timestamped pre-game (claimed) - but NO sample size or time period disclosed for the headline percentages; site's own copy admits ""these results represent our initial development phase"" and MLB section separately says ""tracking live""; self-graded (""we grade and post our own results""); percentages scoped to grade A-B picks only with the A-B share of total picks undisclosed. Also carries an unverified ""DOD forecasting heritage"" claim with no named individual/program/contract found.",UNKNOWN,UNKNOWN
OddsJam,https://oddsjam.com,Sharp/Odds,"2026-08-31 (site blocked, Cloudflare 403)",LOW,Recreational-to-semi-pro through serious +EV/arbitrage bettors,"NFL, NBA, College Football, MLB, College Basketball, NHL, Soccer, Golf; player props; futures","Arbitrage, Positive EV, Middles, Low Hold, Promo Conversion, Parlay Builder, full calculator suite","Highly conflicting across sources. App Store IAP (seen directly): Trends $19.99, Fantasy Optimizer $59.99, Fantasy Picks $79.00, Gold $199.99, Sharp Money $199.99, Platinum $499.99, Positive EV $499.99, Positive EV Global $399.99. Separate 3P reviews (site-pricing, unverified) converge on Gold ~$199/mo, Platinum ~$499/mo.",UNKNOWN precisely; one 3P source cites Platinum ~$400/mo billed annually; one outdated source cites $999/mo (likely stale) - not used,NO found,"UNCONFIRMED (""Try for free"" CTA seen in a 2026-06 archive snapshot)",UNCONFIRMED,YES,UNKNOWN (site blocked; presumed yes),"PARTIAL (fantasy/sharp/EV tiers are separately priced add-ons, not split by sport)",UNKNOWN,"UNKNOWN (no tier literally named ""Pro"")",NO,"NO (odds/EV-scanning tool, not an outcome-prediction product)",NO,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,YES,YES,"YES (named ""Positive EV Betting Tool"")","YES (named ""Arbitrage Betting Tool"")","YES (""Sharp Money"" tier; App Store listing title itself uses ""Sharp"")",UNKNOWN,UNKNOWN,PARTIAL (Kelly calculator exists; no dedicated bankroll module confirmed),NO,NO,YES (Parlay Builder),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Player Props, +EV, & Arbitrage","""Player Props, +EV, & Arbitrage"" (App Store listing pitch)",Recreational-to-semi-pro through serious +EV/arb bettors,"None quantified found; one 3P source asserts OddsJam avoids publishing performance figures since its function is price-discrepancy detection, not outcome prediction (unverified assertion)","N/A for an odds-arithmetic tool. No on-site vig-adjusted-EV disclaimer language could be checked (site blocked). Multiple independent customer reviews allege stale lines and net losses at volume despite the EV framing (self-reported, not audited).",UNKNOWN (site blocked),UNKNOWN (site blocked)
Unabated,https://unabated.com,Sharp/Odds,2026-08-31,MEDIUM,"Recreational bettors seeking sustainable profitability, ""side-hustle"" volume bettors, aspiring pros",UNKNOWN full list; WNBA + multi-sport player prop projections; NFL/CFB futures simulators,"Vig-free consensus line (""Unabated Line""), props, futures, live/in-play inefficiency detection","UNVERIFIED-secondary: free/""essentials"" tier + paid add-ons - Props+ ~$99/mo, Premium ~$199/mo, Concierge ~$799/mo; sport add-ons e.g. WNBA Projections ~$129/mo, Tennisform ~$55/mo",Premium ~$167/mo effective annual; Concierge ~$667/mo effective annual (UNVERIFIED-secondary),NO found,"YES (free/""essentials"" tier)",NO advertised trial found; monthly plans reportedly carry a 14-day money-back guarantee (UNVERIFIED-secondary),UNKNOWN,YES,YES (sport-specific add-ons sold separately),UNKNOWN,"UNKNOWN (tiers named Premium/Concierge, not ""Pro"")",NO,UNKNOWN,NO,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"YES (real-time odds/props, 30+ sportsbooks)",UNKNOWN,"YES (""Unabated Line"" vig-free consensus benchmark)",YES,"UNKNOWN (""edge"" language used generally, not a named +EV tool)",UNKNOWN,"YES (Unabated Line explicitly built from a blend of sharp/market-making books, e.g. Pinnacle/Circa-type)",UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,UNKNOWN (has hedge/half-point/partial-game calculators),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES (member Discord),UNKNOWN,UNKNOWN,UNKNOWN,"Bet with clarity using tools, education, and data science developed by pro bettors","""Every Sharp Started Somewhere""",Recreational bettors seeking sustainable profitability,"""96% of Unabated members say they've become profitable sports bettors"" (strong, unqualified); testimonials cite specific dollar bankroll growth","Self-reported member survey statistic; no methodology disclosed; testimonial-based, not an audited performance figure","Sports-media / pro-bettor-community (heavy Discord, education, ""pro bettor"" authorship framing)",UNKNOWN
Betstamp PRO,https://www.betstamp.com/pro,Sharp/Odds (B2B),2026-08-31,HIGH,"B2B: professional bettors/syndicates, sportsbook operators/trading teams, market makers/exchanges, DFS/sweepstakes operators, media/affiliates, pro team analytics; separate free consumer bet-tracker app also exists under the same brand","NFL, NBA, MLB, NHL, NCAA football/basketball, Soccer (EPL/UCL/La Liga/Serie A/Bundesliga/Ligue 1/MLS/World Cup), UFC, WNBA, CFL, ATP, WTA","Player props (2,548+ markets), same-game-parlay leg-by-leg fair value","Main plan $249/mo, + PPH feeds add-on $99/mo, + Alts add-on $129/mo (fully loaded ~$477/mo); ""Props""/""Live"" plans invite-only (contact sales)","""Save up to 40%"" advertised; no exact annual dollar figure shown on-site",NO,"YES (separate free consumer ""Betstamp: Bet Tracker & Props"" app, 100,000+ downloads)",UNKNOWN for PRO,YES (consumer tracker app),YES (PRO Odds Screen),"NO (priced by feed/add-on, not by sport)",YES,"YES (product literally named ""Betstamp PRO"")",NO,NO,NO,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"YES (sub-second, 400ms median refresh)","YES (steam alerts, True Line move >2.5%)","YES (proprietary ""True Line"")",YES,"UNKNOWN (""automatic edge detection"" language, not literally named +EV)",YES (via negative-hold sorting),"YES (""True Line"" is explicitly a market-maker-referenced pricing benchmark)",UNKNOWN,YES (integrated one-click; also the free consumer app is a bet tracker),UNKNOWN,NO,NO,YES (same-game-parlay leg pricing),NO,NO,NO,NO,NO,YES (5+ seasons backtested/historical data),YES (steam alerts),NO,YES,"YES (referenced in brand/positioning copy alongside ""data layer""/SLA language)","YES (200-207+ sportsbook/operator coverage: regulated, offshore, PPH, and prediction markets Polymarket/Kalshi)",The pricing and data layer for modern sports markets,"""The True Line: The Sharpest Props Pricing in the Industry."" (PRO site)",Explicitly professional/B2B - six named segments; explicitly NOT recreational bettors on the PRO product,"None - no ROI/accuracy claim of any kind; substitutes technical/authority metrics (99.99% uptime SLA, refresh speed, book count) for testimonials","Technical specs are stated plainly (uptime SLA, refresh speed, historical data depth) but no accuracy or predictive-performance claim is made at all, so there is nothing to substantiate on that axis","Finance / data-infrastructure (""SLA,"" ""data layer,"" ""API,"" enterprise segments)",UNKNOWN
Outlier,https://outlier.bet,Sharp/Odds & Props Research,2026-08-31,HIGH,"Consumer, mobile-first bettors","NBA, NFL, MLB, CBB",Player props and game lines (spread/ML/total),Premium $19.99 / Premium+ $29.99 / Pro $79.99,"~$199.99 / ~$299.99 / ~$359.99 per yr respectively (3P-sourced, not confirmed live)",NO,NO (no non-trial free tier),"YES - 7 days, all tiers",YES,YES (app.outlier.bet),NO,YES,"YES (""Pro"" $79.99/mo top tier)",NO,"UNKNOWN (trend/EV-driven tool; ""AI"" framing not confirmed)",NO,YES (trending insights/recommended bets),YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,YES (per-sportsbook live movement charts),YES,YES,"YES (""Positive EV badge"" using named ""DVIG/no-VIG calculations""; full +EV feed on Pro)","YES (Pro tier: ""calculates exact stakes across sportsbooks for a guaranteed profit"")","YES (""sharp-book odds comparison,"" Pro tier)",NO,UNKNOWN,NO,NO,NO,UNKNOWN,NO,YES,YES,UNKNOWN,YES,NO (no public ledger),YES,NO,NO,NO,YES (FanDuel/DraftKings/BetMGM/Caesars/bet365 etc.; 2-click bet placement claimed - true placement vs deep-link UNKNOWN),"Quickly analyze thousands of picks, find your edge, beat the odds","""The #1 App for Making Smarter Bets""",Broad consumer bettor wanting an all-in-one smarter-bets app,"Testimonial quoted on marketing page: ""Up +24.82% ROI for May"" (user testimonial, not a vendor performance claim)","No vendor-made accuracy claim to substantiate; the ROI figure is a cherry-picked user testimonial, not an audited number. Sample-size/denominator handling on Outlier's own trend cards was not independently verified this pass (flagged gap).",Consumer app / mobile-first,"Blue/purple accents, minimalist modern UI (per fetch-tool summary, not screenshot-confirmed)"
OddsShopper,https://www.oddsshopper.com,Sharp/Odds,2026-08-31,MEDIUM,New and experienced bettors; hybrid odds-tool + tout/insider-pick business model,UNKNOWN specific list,"Portfolio EV, arbitrage, live/in-game EV+arbitrage, prediction-exchange liquidity tool, curated ""Tails"" picks",UNKNOWN - not shown on homepage; /pricing URL 404'd,UNKNOWN,UNKNOWN,UNKNOWN,"YES (""Start Free Trial"" CTA, terms unstated)",UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,"YES (""Tails"" - curated picks from vetted insiders)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"YES (Odds Screen, in-game live EV/arb)",UNKNOWN,YES,YES,"YES (named ""Portfolio EV"")","YES (named, ""guaranteed profit opportunities"")","YES (""Liquidity Tool"" - following sharp bettors on prediction exchanges)",UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,Engineer your edge - stress-test millions of strategies across billions of odds to surface profitable edges,"""All Paths To Profit Begin Here""",Both new and experienced bettors; explicit tout/insider-following angle layered onto self-serve tools,"""stress-test millions of strategies across billions of odds to surface profitable edges""; testimonials claim being ""profitable every month""","None disclosed - marketing language only, no methodology, sample, or audit found","Most tout/marketing-forward voice in the sharp/odds segment (""Legends,"" ""Ride With Sharps"")",UNKNOWN
